constraint
"(101, None, 5010, None)"
"(101, None, 6906, None)"
"(102, None, 6270, None)"
"(102, None, 2499, None)"
"(102, None, 5010, None)"
"(103, None, 1511, None)"
"(103, None, 1252, None)"
"(103, None, 7470, None)"
"(104, None, 840, None)"
"(104, None, 4717, None)"
"(104, None, 5319, None)"
"(105, None, 6906, None)"
"(105, None, 4717, None)"
"(105, None, 5319, None)"
"(106, None, 6270, None)"
"(106, None, 5010, None)"
"(106, None, 6906, None)"
"(107, None, 6906, None)"
"(107, None, 332, None)"
"(107, None, 63, None)"
"(108, None, 3217, None)"
"(108, None, 4623, None)"
"(108, None, 7946, None)"
"(109, None, 5006, None)"
"(109, None, 6335, None)"
"(109, None, 6276, None)"
"(110, None, 335, None)"
"(110, None, 7557, None)"
"(110, None, 6654, None)"
"(111, None, 2499, None)"
"(111, None, 5010, None)"
"(111, None, 6906, None)"
"(112, None, 332, None)"
"(112, None, 6276, None)"
"(112, None, 1168, None)"
"(113, None, 840, None)"
"(113, None, 2499, None)"
"(113, None, 5010, None)"
"(114, None, 6270, None)"
"(114, None, 2499, None)"
"(114, None, 5010, None)"
"(115, None, 5010, None)"
"(115, None, 5006, None)"
"(115, None, 3203, None)"
"(116, None, 5010, None)"
"(116, None, 6906, None)"
"(116, None, 5006, None)"
"(117, None, 5010, None)"
"(117, None, 6906, None)"
"(117, None, 5006, None)"
"(118, None, 840, None)"
"(118, None, 5006, None)"
"(118, None, 3203, None)"
"(119, None, 5010, None)"
"(119, None, 5006, None)"
"(119, None, 3203, None)"
"(120, None, 6906, None)"
"(120, None, 5006, None)"
"(120, None, 3203, None)"
"(121, None, 3203, None)"
"(121, None, 6276, None)"
"(121, None, 4253, None)"
"(122, None, 5010, None)"
"(122, None, 3203, None)"
"(122, None, 2683, None)"
"(123, None, 5010, None)"
"(123, None, 5006, None)"
"(123, None, 3203, None)"
"(124, None, 3184, None)"
"(124, None, 335, None)"
"(124, None, 4253, None)"
"(125, None, 6270, None)"
"(125, None, 840, None)"
"(125, None, 2499, None)"
"(126, None, 6270, None)"
"(126, None, 840, None)"
"(126, None, 2499, None)"
"(127, None, 840, None)"
"(127, None, 2499, None)"
"(127, None, 6906, None)"
"(128, None, 4253, None)"
"(128, None, 590, None)"
"(128, None, 6696, None)"
"(129, None, 840, None)"
"(129, None, 6906, None)"
"(129, None, 5006, None)"
"(130, None, 1093, None)"
"(130, None, 3484, None)"
"(130, None, 4574, None)"
"(131, None, 6270, None)"
"(131, None, 2499, None)"
"(131, None, 4717, None)"
"(132, None, 7655, None)"
"(132, None, 6335, None)"
"(132, None, 4253, None)"
"(133, None, 6270, None)"
"(133, None, 840, None)"
"(133, None, 2499, None)"
"(134, None, 2499, None)"
"(134, None, 6906, None)"
"(134, None, 5006, None)"
"(135, None, 5006, None)"
"(135, None, 3203, None)"
"(135, None, 332, None)"
"(136, None, 840, None)"
"(136, None, 2499, None)"
"(136, None, 5010, None)"
"(137, None, 3203, None)"
"(137, None, 7449, None)"
"(137, None, 7213, None)"
"(138, None, 5006, None)"
"(138, None, 3203, None)"
"(138, None, 7655, None)"
"(139, None, 6906, None)"
"(139, None, 5006, None)"
"(139, None, 2683, None)"
"(140, None, 2499, None)"
"(140, None, 3203, None)"
"(140, None, 7655, None)"
"(141, None, 4623, None)"
"(141, None, 1252, None)"
"(141, None, 5648, None)"
"(142, None, 840, None)"
"(142, None, 5006, None)"
"(142, None, 3203, None)"
"(143, None, 3217, None)"
"(143, None, 1124, None)"
"(143, None, 3723, None)"
"(144, None, 6270, None)"
"(144, None, 840, None)"
"(144, None, 6906, None)"
"(145, None, 6270, None)"
"(145, None, 840, None)"
"(145, None, 2499, None)"
"(146, None, 4717, None)"
"(146, None, 332, None)"
"(146, None, 63, None)"
"(147, None, 6270, None)"
"(147, None, 840, None)"
"(147, None, 2499, None)"
"(148, None, 6270, None)"
"(148, None, 840, None)"
"(148, None, 2499, None)"
"(149, None, 6270, None)"
"(149, None, 840, None)"
"(149, None, 2499, None)"
"(150, None, 5010, None)"
"(150, None, 5006, None)"
"(150, None, 7655, None)"
"(151, None, 4717, None)"
"(151, None, 5319, None)"
"(151, None, 3184, None)"
"(152, None, 6906, None)"
"(152, None, 7655, None)"
"(152, None, 4717, None)"
"(153, None, 6270, None)"
